date,description
08/03/21,"Calentamiento
Salidas de 3 puntos 5x20mts
5 x 60mts
Salto sobre 7 vallas (2m entre vallas) x 10

Pesas
Excentricos @85% 3 series x3 rept x4 segundos c/u
Arranque con barra 
Press militar
Sentadilla profunda

Salto a cajon alto 2 x 6
Aflojamiento"
09/03/21,"Calentamiento

Longitud sin carrera 1x8
Despegues c/2 pasos a fosa x 5 
saltos trote de 8 pasos enfasis frecuencia rapida x 5
Saltos de 10 pasos x 10

Terapia fisica   "
10/03/21,"Calentamiento

Pesas
Isometricos @60% 3 series x3 rept x3 segundos c/u
Shrug
Clean
Sentadilla Profunda

Bala atrás y al frente x 10 c/u"
11/03/21,"Calentamiento
1x120mts
3x90mts

Terapia Física"
12/03/21,"Calentamiento

Triple Continuo 4x15 mts
Carrera completa x6, útlimos 3 con hop
Cuadruple c/6 pasos enfásis horizontal x5
Doble c/10 pasos (cayendo 2do en fosa) x6

4x60 mts de aflojamiento"
13/03/21,"Calentamiento

Pesas
Concentricos 90% 3x2
Power Jerk 
Sentadilla Profunda

Gacelas Rápidas 6x50 mts c/u

Terapia Física"
14/03/21,Descanso
15/03/21,"Calentamiento
Salidas de 3 puntos 5x20mts
5 x 70mts
Salto sobre 8 vallas (2m entre vallas) x 10

Pesas
Excentricos @90% 3 series x3 rept x4 segundos c/u
Arranque con barra 
Press militar
Sentadilla profunda

Salto a cajon alto 2 x 8
Aflojamiento"
16/03/21,"Calentamiento

Longitud sin carrera 1x10
Despegues c/2 pasos a fosa x 6
Saltos trote de 8 pasos enfasis frecuencia rapida x 6
Saltos de 10 pasos x 12

Terapia fisica   "
17/03/21,"Calentamiento

Pesas
Isometricos @65% 3 series x3 rept x3 segundos c/u
Shrug
Clean
Sentadilla Profunda

Bala atrás y al frente x 102 c/u"
18/03/21,"Calentamiento

1x120mts
4x90mts

Terapia Física"
19/03/21,"Calentamiento

Triple Continuo 4x15 mts
Carrera completa x6, útlimos 3 con hop
Cuadruple c/6 pasos enfásis horizontal x5
Doble c/10 pasos (cayendo 2do en fosa) x8

4x60 mts de aflojamiento"
20/03/21,"Calentamiento

Pesas
Concentricos 90% 3x2
Power Jerk 
Sentadilla Profunda

Gacelas Rápidas 7x50 mts c/u

Terapia Física"
21/03/21,Descanso
22/03/21,"Calentamiento
Salidas de 3 puntos 6x20mts
4 x 50mts
Salto sobre 6 vallas (2m entre vallas) x 10

Pesas
Excentricos @75% 3 series x3 rept x4 segundos c/u
Arranque con barra 
Press militar
Sentadilla profunda

Salto a cajon alto 2 x 5
Aflojamiento"
23/03/21,"Calentamiento

Longitud sin carrera 1x8
Despegues c/2 pasos a fosa x 5 
saltos trote de 8 pasos enfasis frecuencia rapida x 5
Saltos de 8 pasos x 10

Terapia fisica   "
24/03/21,"Calentamiento

Pesas
Isometricos @50% 3 series x3 rept x3 segundos c/u
Shrug
Clean
Sentadilla Profunda

Bala atrás y al frente x 8 c/u"
25/03/21,"Calentamiento
1x120mts
2x90mts

Terapia Física"
26/03/21,"Calentamiento

Triple Continuo 4x15 mts
Carrera completa x6, útlimos 3 con hop
Cuadruple c/6 pasos enfásis horizontal x5
Doble c/10 pasos (cayendo 2do en fosa) x6

4x60 mts de aflojamiento"
27/03/21,"Calentamiento

Pesas
Concentricos 90% 3x2
Power Jerk 
Sentadilla Profunda

Terapia Física"
28/03/21,Descanso
